Item Name,Qty,Price (total) (USD) (Conversion from Euro),Item link,Notes
Seeed Studio Xiao RP2040,1,$6.60,https://mauser.pt/095-0493/seeed-xiao-rp2040-microcontrolador-seeed-studio-xiao-rp2040-compativel-com-arduino-micropython-circuitpython,All items are from PT stores and have been converted from euro to dollar since I live in Portugal
0.91 inch Oled,1,$5.48,https://mauser.pt/095-3837/joy-it-sbc-lcd01-modulo-ecra-tft-ips-1-28-240x240px-com-controlador-spi,
MX Cherry Switches,9,$22.95,https://mauser.pt/095-5697/keyestudio-ks0066-modulo-controlador-de-motor-tb6612fng,
Rotary Enconder,1,$2.40,https://mauser.pt/096-7590/joy-it-modulo-joystick-de-polegar-compativel-com-arduino,
PCB,1,$8.58,https://mauser.pt/096-6471/micro-motor-dc-c-redutor-metalico-6v-440rpm-50-1-26x12x10mm,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$46.01,,,
